DIRCON,NOMBRE_OPERADOR,OPERADOR,DANE DEPARTAMENTO,DEPARTAMENTO,DANE MUNICIPIO,MUNICIPIO,DANE CENTRO POBLADO,CENTRO POBLADO,ESTADO,COORDENADAS DE REFERENCIA LATITUD,COORDENADAS DE REFERENCIA LONGITUD,INICIO DE OPERACIÓN,FECHA FIN OPERACIÓN,FECHACORTE,VIGENCIA],N° USUARIOS ACTIVOS MES,TRAFICO MENSUAL (GB),VELOCIDAD SUBIDA (Mb),VELOCIDAD BAJADA (Mb),INVERSIÓN
71726,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68689,SAN VICENTE DE CHUCURI,68689000,GUAYACAN EL LITORAL,EN OPERACI�N,"6,93639000","-73,41417000",2019-12-07,2021-09-06,2020-07-31,2020-12-31,170,"191,55",1024,9216,"27007797,00"
71650,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68167,CHARALA,68167000,VEREDA GRIMA ALTA,EN OPERACI�N,"6,30722000","-73,16611000",2019-12-15,2021-09-14,2020-07-31,2020-12-31,59,"107,44",1024,9216,"27007797,00"
71727,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68689,SAN VICENTE DE CHUCURI,68689000,GUAYACAN EL LITORAL,EN OPERACI�N,"6,93639000","-73,41417000",2019-12-08,2021-09-07,2020-07-31,2020-12-31,251,"244,32",1024,9216,"27007797,00"
71714,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68615,RIONEGRO,68615002,VEREDA EL DIAMANTE,EN OPERACI�N,"7,42083000","-73,18917000",2019-12-09,2021-09-08,2020-10-31,2020-12-31,62,"159,93",1,9,"27007800,00"
71657,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68235,EL CARMEN DE CHUCURI,68235000,EL VERGEL,EN OPERACI�N,"6,66611000","-73,48083000",2019-12-09,2021-09-08,2020-07-31,2020-12-31,390,"294,47",1024,9216,"27007797,00"
71675,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68377,LA BELLEZA,68377005,LOS VALLES,EN OPERACI�N,"5,90305000","-74,07638000",2020-01-25,2021-10-24,2020-07-31,2020-12-31,132,"79,22",1024,9216,"27007797,00"
71735,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68720,SANTA HELENA DEL OPON,68720000,CORREGIMIENTO DE CACHIPAY,EN OPERACI�N,"6,29722000","-73,65000000",2019-12-10,2021-09-09,2020-10-31,2020-12-31,520,"268,81",1,9,"27007800,00"
71691,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68444,MATANZA,68444000,VEREDA EL AVENTINO,EN OPERACI�N,"7,29972000","-73,09778000",2019-12-12,2021-09-11,2020-07-31,2020-12-31,297,"268,72",1024,9216,"27007797,00"
71689,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68425,MACARAVITA,68425005,TIENDA NUEVA,EN OPERACI�N,"6,52194000","-72,59000000",2019-12-07,2021-09-06,2020-10-31,2020-12-31,100,"51,13",1,9,"27007800,00"
71718,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68684,SAN JOSE DE MIRANDA,68684000,VEREDA ANCHICUTA,EN OPERACI�N,"6,63806000","-72,71361000",2019-12-04,2021-09-03,2020-10-31,2020-12-31,93,"188,34",1,9,"27007800,00"
72024,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68276,FLORIDABLANCA,68276014,VALLE DE RUITOQUE,EN OPERACI�N,"7,03521000","-73,12081000",2019-12-08,2021-09-07,2020-10-31,2020-12-31,225,"215,88",1,9,"27007800,00"
71738,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68780,SURATA,68780000,CORREGIMIENTO CACHIRI,EN OPERACI�N,"7,46889000","-72,98944000",2019-12-11,2021-09-10,2020-10-31,2020-12-31,596,"257,05",1,9,"27007800,00"
71691,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68444,MATANZA,68444000,VEREDA EL AVENTINO,EN OPERACI�N,"7,29972000","-73,09778000",2019-12-12,2021-09-11,2020-10-31,2020-12-31,379,"140,81",1,9,"27007800,00"
71658,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68255,EL PLAYON,68255001,BETANIA,EN OPERACI�N,"7,55694000","-73,16250000",2019-12-10,2021-09-09,2020-07-31,2020-12-31,726,"310,84",1024,9216,"27007797,00"
71717,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68615,RIONEGRO,68615000,CORREGIMIENTO DE GALAPAGOS,EN OPERACI�N,"7,31472000","-73,17833000",2019-12-10,2021-09-09,2020-07-31,2020-12-31,174,"182,07",1024,9216,"27007797,00"
71680,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68406,LEBRIJA,68406013,VEREDA CONCHAL,EN OPERACI�N,"7,28250000","-73,26250000",2019-12-07,2021-09-06,2020-07-31,2020-12-31,1434,"498,82",1024,9216,"27007797,00"
72280,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68296,GALAN,68296000,GALAN,EN OPERACI�N,"6,60750000","-73,28888889",2020-08-09,1900-01-01,2020-10-31,2020-12-31,124,"113,19",1,9,"27007800,00"
71660,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68266,ENCISO,68266002,PE�A COLORADA,EN OPERACI�N,"6,63083000","-72,70500000",2019-12-06,2021-09-05,2020-10-31,2020-12-31,67,"61,02",1,9,"27007800,00"
72285,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68770,SUAITA,68770002,SAN JOS� DE SUAITA,POR INSTALAR,"6,15888889","-73,44805556",1900-01-01,1900-01-01,2020-07-31,2020-12-31,0,",00",1024,9216,"27007797,00"
71664,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68296,GALAN,68296000,GALAN,EN OPERACI�N,"6,60750000","-73,28888889",2019-12-07,2021-09-06,2020-07-31,2020-12-31,56,"72,76",1024,9216,"27007797,00"
71651,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68235,EL CARMEN DE CHUCURI,68235004,EL CENTENARIO,EN OPERACI�N,"6,73250000","-73,46806000",2019-12-09,2021-09-08,2020-10-31,2020-12-31,512,"230,12",1,9,"27007800,00"
71738,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68780,SURATA,68780000,CORREGIMIENTO CACHIRI,EN OPERACI�N,"7,46889000","-72,98944000",2019-12-11,2021-09-10,2020-07-31,2020-12-31,563,"295,13",1024,9216,"27007797,00"
71716,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68615,RIONEGRO,68615011,VEREDA SAN JOSE DE AREVALO,EN OPERACI�N,"7,41250000","-73,18556000",2019-12-08,2021-09-07,2020-10-31,2020-12-31,414,"235,36",1,9,"27007800,00"
71677,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68385,LANDAZURI,68385009,CORREGIMIENTO SAN IGNACIO DEL OP�N,EN OPERACI�N,"6,41056000","-73,68556000",2019-12-10,2021-09-09,2020-10-31,2020-12-31,530,"247,64",1,9,"27007800,00"
71722,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68684,SAN JOSE DE MIRANDA,68684000,VEREDA ANCHICUTA,EN OPERACI�N,"6,63806000","-72,71361000",2019-12-05,2021-09-04,2020-10-31,2020-12-31,132,"198,22",1,9,"27007800,00"
71725,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68689,SAN VICENTE DE CHUCURI,68689000,GUAYACAN EL LITORAL,EN OPERACI�N,"6,93639000","-73,41417000",2019-12-08,2021-09-07,2020-10-31,2020-12-31,37,"107,15",1,9,"27007800,00"
71673,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68370,JORDAN,68370000,PERIMETRO URBANO JORDAN,EN OPERACI�N,"6,73222000","-73,09556000",2019-12-11,2021-09-10,2020-07-31,2020-12-31,17,"26,41",1024,9216,"27007797,00"
71705,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68575,PUERTO WILCHES,68575023,KIL�METRO OCHO,EN OPERACI�N,"7,58611000","-73,82555000",2020-01-28,2021-10-27,2020-10-31,2020-12-31,633,"366,52",1,9,"27007800,00"
71679,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68406,LEBRIJA,68406000,CORREGIMIENTO URIBE URIBE,EN OPERACI�N,"7,18667000","-73,31083000",2019-12-07,2021-09-06,2020-07-31,2020-12-31,1730,"386,57",1024,9216,"27007797,00"
72289,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68855,VALLE DE SAN JOSE,68855000,SAN ISIDRO,EN OPERACI�N,"6,45194000","-73,10806000",2020-08-08,1900-01-01,2020-10-31,2020-12-31,128,"108,64",1,9,"27007800,00"
71676,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68397,LA PAZ,68397002,VEREDA TROCHAS,EN OPERACI�N,"6,32972000","-73,67861000",2019-12-11,2021-09-10,2020-10-31,2020-12-31,40,"59,45",1,9,"27007800,00"
71647,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68101,BOLIVAR,68101010,SANTA ROSA,EN OPERACI�N,"6,15555000","-73,83861000",2020-01-24,2021-10-23,2020-10-31,2020-12-31,1750,"620,34",1,9,"27007800,00"
71646,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68101,BOLIVAR,68101000,BOQUER�N,EN OPERACI�N,"6,07388000","-73,75138000",2020-01-24,2021-10-23,2020-07-31,2020-12-31,324,"601,24",1024,9216,"27007797,00"
71671,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68320,GUADALUPE,68320000,VEREDA MARARAY,EN OPERACI�N,"6,22639000","-73,35583000",2020-01-23,2021-10-22,2020-07-31,2020-12-31,121,"197,45",1024,9216,"27007797,00"
71665,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68296,GALAN,68296000,GALAN,EN OPERACI�N,"6,60750000","-73,28888889",2019-12-07,2021-09-06,2020-07-31,2020-12-31,8,"36,55",1024,9216,"27007797,00"
72025,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68092,BETULIA,68092008,SAN RAFAEL,EN OPERACI�N,"7,11694000","-73,43556000",2019-12-10,2021-09-09,2020-07-31,2020-12-31,307,"221,92",1024,9216,"27007797,00"
72293,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68861,VELEZ,68861000,VEREDA LA DOCTRINA,POR INSTALAR,"5,95500000","-73,66638889",1900-01-01,1900-01-01,2020-07-31,2020-12-31,0,",00",1024,9216,"27007797,00"
71732,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68689,SAN VICENTE DE CHUCURI,68689000,GUAYACAN EL LITORAL,EN OPERACI�N,"6,93639000","-73,41417000",2019-12-08,2021-09-07,2020-07-31,2020-12-31,8,"196,88",1024,9216,"27007797,00"
71678,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68406,LEBRIJA,68406000,CORREGIMIENTO URIBE URIBE,EN OPERACI�N,"7,18667000","-73,31083000",2019-12-07,2021-09-06,2020-10-31,2020-12-31,177,"100,52",1,9,"27007800,00"
71715,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68615,RIONEGRO,68615027,VEREDA HONDURAS,EN OPERACI�N,"7,23833000","-73,19638000",2019-12-09,2021-09-08,2020-07-31,2020-12-31,384,"151,21",1024,9216,"27007797,00"
72023,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68547,PIEDECUESTA,68547000,VEREDA CRISTALES,EN OPERACI�N,"7,00925000","-73,10527000",2019-12-01,2021-08-31,2020-10-31,2020-12-31,159,"89,65",1,9,"27007800,00"
72276,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68167,CHARALA,68167000,VEREDA GRIMA ALTA,EN OPERACI�N,"6,30722000","-73,16611000",2020-08-08,1900-01-01,2020-10-31,2020-12-31,118,"193,43",1,9,"27007800,00"
72280,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68296,GALAN,68296000,GALAN,POR INSTALAR,"6,60750000","-73,28888889",1900-01-01,1900-01-01,2020-07-31,2020-12-31,0,",00",1024,9216,"27007797,00"
71666,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68296,GALAN,68296000,GALAN,EN OPERACI�N,"6,60750000","-73,28888889",2019-12-07,2021-09-06,2020-07-31,2020-12-31,170,"57,98",1024,9216,"27007797,00"
71643,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68092,BETULIA,68092003,LA PUTANA,EN OPERACI�N,"6,88667000","-73,30556000",2019-12-10,2021-09-09,2020-10-31,2020-12-31,83,"67,42",1,9,"27007800,00"
72292,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68861,VELEZ,68861024,LOS GUAYABOS,POR INSTALAR,"5,97805556","-73,65916667",1900-01-01,1900-01-01,2020-07-31,2020-12-31,0,",00",1024,9216,"27007797,00"
71706,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68575,PUERTO WILCHES,68575013,PATURIA,EN OPERACI�N,"7,32889000","-73,83972000",2020-01-28,2021-10-27,2020-07-31,2020-12-31,684,"346,53",1024,9216,"27007797,00"
71702,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68549,PINCHOTE,68549000,EL BOSQUE,EN OPERACI�N,"6,50944000","-73,15389000",2019-12-08,2021-09-07,2020-07-31,2020-12-31,260,"149,63",1024,9216,"27007797,00"
72286,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68770,SUAITA,68770003,VADO REAL,EN OPERACI�N,"6,07000000","-73,41222222",2020-08-10,1900-01-01,2020-10-31,2020-12-31,142,"53,96",1,9,"27007800,00"
71685,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68425,MACARAVITA,68425002,BURAGA,EN OPERACI�N,"6,51333000","-72,55611000",2019-12-07,2021-09-06,2020-07-31,2020-12-31,266,"93,95",1024,9216,"27007797,00"
71667,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68318,GUACA,68318001,BARAYA,EN OPERACI�N,"6,97917000","-72,81611000",2019-12-03,2021-09-02,2020-07-31,2020-12-31,591,"121,34",1024,9216,"27007797,00"
71648,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68152,CARCASI,68152000,VEREDA ASTILLAL,EN OPERACI�N,"6,62417000","-72,55667000",2019-12-05,2021-09-04,2020-07-31,2020-12-31,541,"288,61",1024,9216,"27007797,00"
72290,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68855,VALLE DE SAN JOSE,68855000,SAN ISIDRO,POR INSTALAR,"6,45194000","-73,10806000",1900-01-01,1900-01-01,2020-07-31,2020-12-31,0,",00",1024,9216,"27007797,00"
72278,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68229,CURITI,68229000,VEREDA CUCHICUTE,EN OPERACI�N,"6,56444444","-73,06111111",2020-08-06,1900-01-01,2020-10-31,2020-12-31,360,"141,60",1,9,"27007800,00"
71687,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68425,MACARAVITA,68425004,LAS HUERTAS,EN OPERACI�N,"6,50528000","-72,62528000",2019-12-07,2021-09-06,2020-07-31,2020-12-31,208,"161,62",1024,9216,"27007797,00"
71729,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68689,SAN VICENTE DE CHUCURI,68689000,GUAYACAN EL LITORAL,EN OPERACI�N,"6,93639000","-73,41417000",2019-12-07,2021-09-06,2020-07-31,2020-12-31,187,"335,87",1024,9216,"27007797,00"
71643,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68092,BETULIA,68092003,LA PUTANA,EN OPERACI�N,"6,88667000","-73,30556000",2019-12-10,2021-09-09,2020-07-31,2020-12-31,75,"34,34",1024,9216,"27007797,00"
72281,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68296,GALAN,68296000,GALAN,POR INSTALAR,"6,60750000","-73,28888889",1900-01-01,1900-01-01,2020-07-31,2020-12-31,0,",00",1024,9216,"27007797,00"
71734,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68689,SAN VICENTE DE CHUCURI,68689000,GUAYACAN EL LITORAL,EN OPERACI�N,"6,93639000","-73,41417000",2019-12-11,2021-09-10,2020-07-31,2020-12-31,15,"152,25",1024,9216,"27007797,00"
72276,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68167,CHARALA,68167000,VEREDA GRIMA ALTA,POR INSTALAR,"6,30722000","-73,16611000",1900-01-01,1900-01-01,2020-07-31,2020-12-31,0,",00",1024,9216,"27007797,00"
71710,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68615,RIONEGRO,68615000,CORREGIMIENTO DE GALAPAGOS,EN OPERACI�N,"7,31472000","-73,17833000",2019-12-09,2021-09-08,2020-10-31,2020-12-31,118,"221,11",1,9,"27007800,00"
71667,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68318,GUACA,68318001,BARAYA,EN OPERACI�N,"6,97917000","-72,81611000",2019-12-03,2021-09-02,2020-10-31,2020-12-31,463,"69,16",1,9,"27007800,00"
71718,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68684,SAN JOSE DE MIRANDA,68684000,VEREDA ANCHICUTA,EN OPERACI�N,"6,63806000","-72,71361000",2019-12-04,2021-09-03,2020-07-31,2020-12-31,95,"422,22",1024,9216,"27007797,00"
72292,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68861,VELEZ,68861024,LOS GUAYABOS,EN OPERACI�N,"5,97805556","-73,65916667",2020-08-11,1900-01-01,2020-10-31,2020-12-31,124,"20,19",1,9,"27007800,00"
71672,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68320,GUADALUPE,68320000,VEREDA MARARAY,EN OPERACI�N,"6,22639000","-73,35583000",2019-12-09,2021-09-08,2020-07-31,2020-12-31,12,"170,45",1024,9216,"27007797,00"
71663,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68296,GALAN,68296000,GALAN,EN OPERACI�N,"6,60750000","-73,28888889",2019-12-07,2021-09-06,2020-10-31,2020-12-31,19,"51,77",1,9,"27007800,00"
71732,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68689,SAN VICENTE DE CHUCURI,68689000,GUAYACAN EL LITORAL,EN OPERACI�N,"6,93639000","-73,41417000",2019-12-07,2021-09-06,2020-10-31,2020-12-31,20,"81,41",1,9,"27007800,00"
72021,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68081,BARRANCABERMEJA,68081010,LA FORTUNA,EN OPERACI�N,"7,13333000","-73,55556000",2019-12-06,2021-09-05,2020-07-31,2020-12-31,334,"250,61",1024,9216,"27007797,00"
71686,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68425,MACARAVITA,68425003,LA BRICHA,EN OPERACI�N,"6,47028000","-72,61417000",2019-12-07,2021-09-06,2020-10-31,2020-12-31,165,"154,44",1,9,"27007800,00"
71724,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68689,SAN VICENTE DE CHUCURI,68689000,GUAYACAN EL LITORAL,EN OPERACI�N,"6,93639000","-73,41417000",2019-12-09,2021-09-08,2020-07-31,2020-12-31,203,"322,38",1024,9216,"27007797,00"
71742,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68855,VALLE DE SAN JOSE,68855000,SAN ISIDRO,EN OPERACI�N,"6,45194000","-73,10806000",2019-12-08,2021-09-07,2020-10-31,2020-12-31,95,"123,26",1,9,"27007800,00"
71651,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68235,EL CARMEN DE CHUCURI,68235004,EL CENTENARIO,EN OPERACI�N,"6,73250000","-73,46806000",2019-12-05,2021-09-04,2020-07-31,2020-12-31,285,"208,40",1024,9216,"27007797,00"
71688,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68425,MACARAVITA,68425006,PAJARITO,EN OPERACI�N,"6,48056000","-72,57528000",2019-12-07,2021-09-06,2020-07-31,2020-12-31,58,"61,88",1024,9216,"27007797,00"
71695,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68444,MATANZA,68444000,VEREDA EL AVENTINO,EN OPERACI�N,"7,29972000","-73,09778000",2020-01-22,2021-10-21,2020-10-31,2020-12-31,393,"110,78",1,9,"27007800,00"
72024,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68276,FLORIDABLANCA,68276014,VALLE DE RUITOQUE,EN OPERACI�N,"7,03521000","-73,12081000",2019-12-08,2021-09-07,2020-07-31,2020-12-31,204,"147,53",1024,9216,"27007797,00"
71739,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68780,SURATA,68780001,CORREGIMIENTO DE TURBAY,EN OPERACI�N,"7,51417000","-73,04639000",2019-12-10,2021-09-09,2020-07-31,2020-12-31,404,"287,58",1024,9216,"27007797,00"
71650,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68167,CHARALA,68167000,VEREDA GRIMA ALTA,EN OPERACI�N,"6,30722000","-73,16611000",2019-12-15,2021-09-14,2020-10-31,2020-12-31,51,"43,73",1,9,"27007800,00"
71717,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68615,RIONEGRO,68615000,CORREGIMIENTO DE GALAPAGOS,EN OPERACI�N,"7,31472000","-73,17833000",2019-12-09,2021-09-08,2020-10-31,2020-12-31,155,"139,09",1,9,"27007800,00"
72287,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68855,VALLE DE SAN JOSE,68855000,SAN ISIDRO,POR INSTALAR,"6,45194000","-73,10806000",1900-01-01,1900-01-01,2020-07-31,2020-12-31,0,",00",1024,9216,"27007797,00"
71741,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68820,TONA,68820002,VEREDA PARRA JUAN RODRIGUEZ,EN OPERACI�N,"7,16028000","-73,05917000",2019-12-13,2021-09-12,2020-10-31,2020-12-31,91,"104,50",1,9,"27007800,00"
71712,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68615,RIONEGRO,68615013,LLANO DE PALMAS,EN OPERACI�N,"7,40000000","-73,22278000",2020-01-22,2021-10-21,2020-07-31,2020-12-31,321,"193,22",1024,9216,"27007797,00"
72287,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68855,VALLE DE SAN JOSE,68855000,SAN ISIDRO,EN OPERACI�N,"6,45194000","-73,10806000",2020-08-07,1900-01-01,2020-10-31,2020-12-31,164,"207,07",1,9,"27007800,00"
71672,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68320,GUADALUPE,68320000,VEREDA MARARAY,EN OPERACI�N,"6,22639000","-73,35583000",2020-01-23,2021-10-22,2020-10-31,2020-12-31,30,"38,03",1,9,"27007800,00"
71721,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68684,SAN JOSE DE MIRANDA,68684000,VEREDA ANCHICUTA,EN OPERACI�N,"6,63806000","-72,71361000",2019-12-05,2021-09-04,2020-10-31,2020-12-31,116,"170,59",1,9,"27007800,00"
72283,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68522,PALMAR,68522000,PALO GORDO,POR INSTALAR,"6,50583333","-73,29166667",1900-01-01,1900-01-01,2020-07-31,2020-12-31,0,",00",1024,9216,"27007797,00"
71725,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68689,SAN VICENTE DE CHUCURI,68689000,GUAYACAN EL LITORAL,EN OPERACI�N,"6,93639000","-73,41417000",2019-12-07,2021-09-06,2020-07-31,2020-12-31,114,"144,60",1024,9216,"27007797,00"
72293,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68861,VELEZ,68861000,VEREDA LA DOCTRINA,EN OPERACI�N,"5,95500000","-73,66638889",2020-08-11,1900-01-01,2020-10-31,2020-12-31,272,"92,13",1,9,"27007800,00"
71639,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68079,BARICHARA,68079000,BUTAREGUA,EN OPERACI�N,"6,67611000","-73,20972000",2019-12-16,2021-09-15,2020-10-31,2020-12-31,134,"60,55",1,9,"27007800,00"
71696,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68464,MOGOTES,68464000,VEREDA EL HOYO,EN OPERACI�N,"6,58139000","-72,90806000",2019-12-15,2021-09-14,2020-10-31,2020-12-31,655,"126,04",1,9,"27007800,00"
72289,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68855,VALLE DE SAN JOSE,68855000,SAN ISIDRO,POR INSTALAR,"6,45194000","-73,10806000",1900-01-01,1900-01-01,2020-07-31,2020-12-31,0,",00",1024,9216,"27007797,00"
71682,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68418,LOS SANTOS,68418000,VEREDA EL REGADERO,EN OPERACI�N,"6,76111000","-73,09000000",2019-12-14,2021-09-13,2020-07-31,2020-12-31,111,"99,16",1024,9216,"27007797,00"
71704,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68575,PUERTO WILCHES,68575007,EL PEDRAL,EN OPERACI�N,"7,32472000","-73,77389000",2019-12-06,2021-09-05,2020-07-31,2020-12-31,1230,"336,20",1024,9216,"27007797,00"
72286,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68770,SUAITA,68770003,VADO REAL,POR INSTALAR,"6,07000000","-73,41222222",1900-01-01,1900-01-01,2020-07-31,2020-12-31,0,",00",1024,9216,"27007797,00"
71656,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68235,EL CARMEN DE CHUCURI,68235000,EL VERGEL,EN OPERACI�N,"6,66611000","-73,48083000",2019-12-05,2021-09-04,2020-10-31,2020-12-31,525,"187,45",1,9,"27007800,00"
